COD PRODUCTO;NOMBRE PRODUCTO
AEROC;AEROCAMARA
AO/ADUL;ALIMENTACION ORAL ESTANDAR ADULTO
AO/PED;ALIMENTACION ORAL ESTANDAR PEDIATRICO
O-35;ALMOHADON ANTIESCARAS
ALQ;ALQUILER DE APARATOLOGIA
O-01;AMBU ADULTO
2363;AMBU PEDIATRICO
AND-01;ANDADOR
911243-4;ANDADOR ULTRALIVIANO
11922;APOYA PIE SILLA DE RUEDAS
ASIFLOSILICPSILLA;ASIENTO INFALBLE O SILICONADO PARA SILLA DE RUEDAS
ASISTTOS;ASISTENTE DE TOS
E-13;ASPIRADOR A BATERIA
ASPDIAF;ASPIRADOR A DIAFRAGMA
ASPELE;ASPIRADOR ELÉCTRICO
E-01;ASPIRADOR NEBULIZADOR
AE/ADULTO;AUTOCUIDADO ESTANDAR -ADULTO
O-26;BARANDA PARA CAMA ORTOPEDICA
O-06;BASTON COMUN
O-07;BASTON TRIPODE
BAT BACK;BATERIA DE BACKUP
E-03;BOMBA DE ALIMENTACION
930417;BOMBA DE INFUSIÓN P/MEDICAMENTOS EN ASISTENCIA
BPAP COMUN;BPAP COMUN
O-33;BPAP CON FRECUENCIA
E-15;CALENTADOR - HUMIDIFICADOR
O-40;CAMA ORTOPEDICA PEDIATRICA
O-08;CAMA ORTOPEDICA REFORZADA
CA-01;CAMA ORTOPEDICA STANDAR
CIL;CILINDRO DE OXIGENO
CO-01;COLCHON ANTIESCARAS
COL-ART;Colchon Articulado
COLCH;COLCHON CAMA HOSPITALARIA CON FUNDA IMPERMEABLE
O-30;COLCHON DE GOMA ESPUMA
O-64;COLCHON HOSPITALARIO DE ALTA DENSIDAD
CON/TUB;CONCENTRADOR + TUBO DE BACKUP
E-05;CONCENTRADOR DE OXIGENO
CONC10;CONCENTRADOR DE OXIGENO ( HASTA 10 LTS)
CONC8;CONCENTRADOR DE OXIGENO (HASTA 8 LTS)
CONPORT;CONCENTRADOR DE OXIGENO PORTÁTIL (FLUJO CONTINUO Y PULSÁTIL)
BUM0307;CONCENTRADOR PORTATIL SIMPLYGO
CPAP AUTO;CPAP AUTOAJUSTABLE
CPAP EST;CPAP ESTÁNDAR
O-11;CUBRE COLCHON
O-12;CUBRECAMILLA
O-13;ELEVA INODORO
O-34;ELEVADOR HIDRAULICO
EQUIPO FREELOX;EQUIPO FREELOX
EQUIPOXI;EQUIPO OXIGENADOR ADULTO
OXINEO;EQUIPO OXIGENADOR NEONATAL
BENNETT;EQUIPO PURITAN BENNETT 560
ESTABTEN;ESTABILIZADOR DE TENSION
FREELOX;FREELOX CON MOCHILA
GRU;GRUPO ELECTROGENO
GUIA ALIM;GUIA BOMBA ALIMENTACION
HUM;HUMIDIFICADOR
O-14;INODORO PORTATIL
