Cód. Producto;Producto;costo;ultima actualizacion de precio
9000;2 SET DE EXTENSIÓN TIPO MIC KEY;0.00;19/12/2025
C019;ABBOCATH A DEFINIR;0.00;19/12/2025
LIB99;Abrochadora;0.00;19/12/2025
9060;ACEITE DE SILICONA (PREVIENE ESCARAS) ;23,836.26;19/12/2025
12000;ACEITE MCT OIL AL 2% X 500 ML BAGO;0.00;19/12/2025
10557;ACEITE SILICONA EN SPRAY AEROGAL;37,090.30;19/12/2025
11115;ACEMUC 250 ML;0.00;19/12/2025
10760;ACEMUC 600 ML;0.00;19/12/2025
10920;ACIDO FOLICO GOTAS;0.00;19/12/2025
M-22;ACIDO VALPROICO X 120 ML;0.00;19/12/2025
10999;ADALTORE 100 MG X 30 UNIDADES;0.00;19/12/2025
11918;Adaptador guía biomax 500;0.00;19/12/2025
1019;ADHESIVO COUGH ASSIST;0.00;19/12/2025
LIB21;Adhesivo voligoma 30 gr;0.00;19/12/2025
LIB5;Adhesivo voligoma x50cc;0.00;19/12/2025
11006;Adrenalina 1ml;0.00;19/12/2025
AEROC;AEROCAMARA;0.00;23/10/2025
10840;AEROCAMARA AEROSPACER;0.00;19/12/2025
9059;AEROCAMARA DE TRAQUEOSTOMIA;0.00;19/12/2025
10558;AEROCAMARA ERO SPACER XA TQ;0.00;19/12/2025
10599;AEROCAMARA PARA CIRCUITO RESPIRATORIO;0.00;19/12/2025
AER;AEROGAL SPRAY X 225ML;43,863.80;9/2/2026
LIB75;Agenda;0.00;19/12/2025
10709;Agua Bidestilada de 500ml;0.00;19/12/2025
7358;AGUA DESTILADA  1 LITRO;0.00;19/12/2025
7359;AGUA DESTILADA  500 ML;3,146.84;19/12/2025
7042;AGUA DESTILADA AMPOLLA PLASTICO 10 ML;851.20;19/12/2025
7291;AGUA DESTILADA AMPOLLA PLASTICO 5 ML;611.82;19/12/2025
MEDA150;AGUA DESTILADA X 250 ML;0.00;19/12/2025
2020;AGUA OXIGENADA 10 VOL 100ML;568.56;19/12/2025
7293;AGUA OXIGENADA 10 VOL X 1 LITRO;2,109.24;19/12/2025
7294;AGUA OXIGENADA 10 VOL X 500 CC;1,718.80;19/12/2025
7350;AGUA OXIGENADA 250 ML;1,269.44;19/12/2025
5050;AGUA TRIDESTILADA X 5 LT;0.00;19/12/2025
202;"AGUJA 18G  1 1/2"" (12/40MM)";26.00;19/12/2025
509;"AGUJA 21G 1 1/2"" (40/8MM)";26.00;19/12/2025
7297;"AGUJA 21G 1"" (25/8MM)";21.78;19/12/2025
204;"AGUJA 21G 2"" (50/8MM)";107.56;19/12/2025
205;"AGUJA 22G X1"" 25/7";26.00;19/12/2025
9080;"AGUJA 25G 5/8"" (5/16MM)";26.00;19/12/2025
7295;"AGUJA 30G-1/2"" (30/13MM)";39.14;19/12/2025
12057;Aguja Hipodérmica N13;0.00;19/12/2025
AGU;AGUJA HUBER FRENCH N 19;0.00;19/12/2025
D-05;AGUJA HUBER N 20 G x 25 mm;0.00;19/12/2025
10393;"AGUJAS 23G X 11"" 60/25M";0.00;19/12/2025
12030;Alcohol 100% 500 ml;0.00;19/12/2025
9096;ALCOHOL 70% X 1 LITRO;3,772.00;19/12/2025
ALCOHOL 70% X500ML;ALCOHOL 70% X 500ML;1,854.72;19/12/2025
BB102;ALCOHOL 96% 1 LITRO;3,696.00;19/12/2025
9106;ALCOHOL 96% 250 CC;1,104.00;19/12/2025
