id_softwerk;COD PRODUCTO;NOMBRE PRODUCTO
7654;9000;2 SET DE EXTENSIÓN TIPO MIC KEY
7934;9060;ACEITE DE SILICONA (PREVIENE ESCARAS)
16045;12000;ACEITE MCT OIL AL 2% X 500 ML BAGO
16059;10557;ACEITE SILICONA EN SPRAY AEROGAL
13389;11115;ACEMUC 250 ML
10945;10760;ACEMUC 600 ML
11262;10920;ACIDO FOLICO GOTAS
2129;M-22;ACIDO VALPROICO X 120 ML
12387;10999;ADALTORE 100 MG X 30 UNIDADES
15369;11918;Adaptador guía biomax 500
16036;10840;AEROCAMARA AEROSPACER
7933;9059;AEROCAMARA DE TRAQUEOSTOMIA
16060;10558;AEROCAMARA ERO SPACER XA TQ
16047;10599;AEROCAMARA PARA CIRCUITO RESPIRATORIO
4259;AER;AEROGAL SPRAY X 225ML
16179;10709;Agua Bidestilada de 500ml
7542;7358;AGUA DESTILADA 1 LITRO
7543;7359;AGUA DESTILADA 500 ML
8315;7042;AGUA DESTILADA AMPOLLA PLASTICO 10 ML
7291;7291;AGUA DESTILADA AMPOLLA PLASTICO 5 ML
8233;2020;AGUA OXIGENADA 10 VOL 100ML
7293;7293;AGUA OXIGENADA 10 VOL X 1 LITRO
7294;7294;AGUA OXIGENADA 10 VOL X 500 CC
7527;7350;AGUA OXIGENADA 250 ML
15777;5050;AGUA TRIDESTILADA X 5 LT
8234;202;AGUJA 18G 1 1/2 (12/40MM)
7297;7297;AGUJA 21G 1 (25/8MM)
7568;509;AGUJA 21G 1 1/2 (40/8MM)
8235;204;AGUJA 21G 2 (50/8MM)
8236;205;AGUJA 22G X1 25/7
7968;9080;AGUJA 25G 5/8 (5/16MM)
7295;7295;AGUJA 30G-1/2 (30/13MM)
1669;AGU;AGUJA HUBER FRENCH N 19
1916;D-05;AGUJA HUBER N 20 G x 25 mm
10393;10393;AGUJAS 23G X 11 60/25M
7997;9096;ALCOHOL 70% X 1 LITRO
6216;ALCOHOL 70% X500ML;ALCOHOL 70% X 500ML
7389;BB102;ALCOHOL 96% 1 LITRO
8022;9106;ALCOHOL 96% 250 CC
7857;7390;ALCOHOL 96% 500 ML
7528;7351;ALCOHOL EN GEL 250 ML
10394;10394;ALCOHOL EN GEL 5LT
6210;ALCOHOL EN GEL X 1L;ALCOHOL EN GEL X 1LITRO
7533;7352;ALCOHOL EN GEL X 500 ML
11664;10804;Algispray x 187 gr
8239;208;ALGODÓN 140 GR
7302;7302;ALGODÓN X 500 G
6246;ALG70;ALGODON X 70 gr
1340;ALIMENTO POLIMEROSA;ALIMENTO POLIMEROSA 320 grs - Nutricia - Bago
12082;ALQ-EQU;Alquiler Equipamiento
11009;ALQ-OX;Alquiler Oxigenoterapia
11754;10977;AMONIO CUATERNARIO X 5LT
8153;7392;AMPOLLA P/ NEBULIZAR PEDIATRICA
9049;9126;APOSITO C/ ADHESIVO DE SILICONA 10 X 10 (REF 334353)
6756;7852;APOSITO DE ALGINATO 10X10CM
10395;10395;APOSITO DE ALGINATO 10X20CM REF 9238
10396;10396;APOSITO DE ALGINATO 15X15CM REF 3715
16122;10220;APOSITO DE INCONTINENCIA DESCARTABLE NONISEC
16244;10690;APOSITO DUODERM EXTRAFINO 15X15
7397;BB109;APOSITO ESTERIL 10 X 20
10397;10397;APOSITO ESTERIL 15X20
4774;BB-38;APOSITO ESTERIL 9 x 15
16275;10206;APOSITO HIDROCOLOIDE 10X10
16299;10713;APOSITO HIDROCOLOIDE 20 X 20
14951;11996;Aposito Hidrocoloide de 9x14 cm coloplast
11040;10800;Aposito no adhesivo p/tqt (yatho) 10x10
15712;11941;APOSITO NO ADHESIVO PARA TRAQUEOTOMIA 5X5 CM (YAFHO)
1920;D-09;APOSITO NO ESTERIL 10 X 20
8140;482;APÓSITO NO ESTERIL 10 X 20
8020;9105;APOSITO NO ESTERIL 15 X 20
7534;7353;APOSITO NO ESTERIL 8 X 20
6486;TEGA;APOSITO TEGADERM 10 X 10
539;APOTE;APOSITO TEGADERM 10x12
8305;198;APÓSITO TEGADERM 10X12
16154;10565;APOSITO TEGADERM 15x20
16297;10711;APOSITO TEGADERM 20X30
1921;D-10;APOSITO TEGADERM 6 X 7
8306;197;APÓSITO TEGADERM 7X5
7663;9010;APOSITO TIPO TERGADERM 6X7
8308;196;APÓSITO TRANSPARENTE VECA
4246;KEN;APOSITO ULTEC PRO15X15 KENDALL 9802
461;DUO;APOSITOS DUODERM 10 X 15
8209;8956;APOSITOS DUODERM 10X10
7303;7303;APOSITOS ESTERILES 10 X 10
