Código;Producto;Imp. Valor;Zona
30050562;Acompañante Terapeutico hs;7,127.78;(GALENO) GBA/SALTA/ER/MZA/SFE
30050562;Acompañante Terapeutico hs;6,564.93;(GALENO) CORDOBA
30050383;Consulta Especiliasta;36,439.88;(GALENO) GBA/SALTA/ER/MZA/SFE
30050383;Consulta Especiliasta;34,162.38;(GALENO) CORDOBA
30050459;Consulta Medica Adulto;50,104.82;(GALENO) Prov. Neuquen y Rio Negro
30050459;Consulta Medica Adulto;59,681.95;(GALENO) Prov. Chubut y Sta. Cruz
30050459;Consulta Medica Adulto;31,884.87;(GALENO) GBA/SALTA/ER/MZA/SFE
30050459;Consulta Medica Adulto;28,468.66;(GALENO) CORDOBA
30050429;Consulta medica Pediatria;34,162.38;(GALENO) CORDOBA
30050429;Consulta medica Pediatria;39,856.10;(GALENO) GBA/SALTA/ER/MZA/SFE
30050429;Consulta medica Pediatria;66,313.37;(GALENO) Prov. Chubut y Sta. Cruz
30050429;Consulta medica Pediatria;59,681.95;(GALENO) Prov. Neuquen y Rio Negro
30050429;Consulta medica Pediatria;0.01;(FUERA DE CONVENIO)
30050410;Cuidador hs;6,263.11;(GALENO) Prov. Neuquen y Rio Negro
30050410;Cuidador hs;4,554.98;(GALENO) CORDOBA
30050410;Cuidador hs;5,352.10;(GALENO) GBA/SALTA/ER/MZA/SFE
30050410;Cuidador hs;7,294.48;(GALENO) Prov. Chubut y Sta. Cruz
30050585;Enfermeria Vestida para Control/Aseo/Aplicacion ATB ( Incluye material descartable);15,942.45;(GALENO) Prov. Neuquen y Rio Negro
30050585;Enfermeria Vestida para Control/Aseo/Aplicacion ATB ( Incluye material descartable);10,610.17;(GALENO) Prov. Chubut y Sta. Cruz
30050585;Enfermeria Vestida para Control/Aseo/Aplicacion ATB ( Incluye material descartable);9,109.96;(GALENO) GBA/SALTA/ER/MZA/SFE
30050585;Enfermeria Vestida para Control/Aseo/Aplicacion ATB ( Incluye material descartable);7,971.22;(GALENO) CORDOBA
