TABLE_NAME,COLUMN_NAME,DATA_TYPE,IS_NULLABLE,COLUMN_DEFAULT
financiador,idobra_social,int,NO,NULL
financiador,Financiador,varchar,YES,NULL
financiador,activo,tinyint,NO,1
financiador,tasa_mensual,decimal,YES,NULL
financiador,dias_cobranza_teorico,int,YES,NULL
financiador,dias_cobranza_real,int,YES,NULL
financiador,id_acuerdo,int,YES,NULL
financiador_acuerdo,id_acuerdo,int,NO,NULL
financiador_acuerdo,nombre,varchar,NO,NULL
insumos,idInsumos,int,NO,NULL
insumos,producto,varchar,NO,NULL
insumos,costo,int,YES,NULL
prestador_servicio,id_prestador_servicio,int,NO,NULL
prestador_servicio,idobra_social,int,NO,NULL
prestador_servicio,id_servicio,int,NO,NULL
prestador_servicio,valor_facturar,decimal,NO,NULL
prestador_servicio,total_mes,decimal,YES,NULL
prestador_servicio,condicion,text,YES,NULL
prestador_servicio,activo,tinyint,YES,1
prestador_servicio,cant_total,int,YES,NULL
prestador_servicio,valor_sugerido,decimal,YES,NULL
presupuesto_insumos,id,int,NO,NULL
presupuesto_insumos,idPresupuestos,int,NO,NULL
presupuesto_insumos,producto,varchar,NO,NULL
presupuesto_insumos,costo,decimal,NO,NULL
presupuesto_insumos,cantidad,int,NO,NULL
presupuesto_insumos,created_at,timestamp,YES,CURRENT_TIMESTAMP
presupuesto_insumos,updated_at,timestamp,YES,CURRENT_TIMESTAMP
presupuesto_prestaciones,id,int,NO,NULL
presupuesto_prestaciones,idPresupuestos,int,NO,NULL
presupuesto_prestaciones,id_servicio,varchar,NO,NULL
presupuesto_prestaciones,prestacion,varchar,NO,NULL
presupuesto_prestaciones,cantidad,int,NO,NULL
presupuesto_prestaciones,valor_asignado,decimal,NO,NULL
presupuesto_prestaciones,valor_facturar,decimal,NO,0.00
presupuesto_prestaciones,created_at,timestamp,YES,CURRENT_TIMESTAMP
presupuesto_prestaciones,updated_at,timestamp,YES,CURRENT_TIMESTAMP
presupuestos,idPresupuestos,int,NO,NULL
presupuestos,Nombre_Apellido,varchar,YES,NULL
presupuestos,DNI,int,NO,NULL
presupuestos,Sucursal,varchar,NO,NULL
presupuestos,total_insumos,int,YES,NULL
presupuestos,dificil_acceso,varchar,NO,NULL
presupuestos,total_prestaciones,int,YES,NULL
presupuestos,idobra_social,int,YES,NULL
presupuestos,costo_total,int,YES,NULL
presupuestos,created_at,datetime,YES,CURRENT_TIMESTAMP
presupuestos,updated_at,datetime,YES,CURRENT_TIMESTAMP
presupuestos,total_facturar,decimal,YES,0.00
presupuestos,rentabilidad,decimal,YES,0.00
presupuestos,rentabilidad_con_plazo,decimal,YES,NULL
servicios,id_servicio,int,NO,NULL
servicios,nombre,varchar,NO,NULL
servicios,tipo_unidad,enum,YES,horas
servicios,max_unidades_sugerido,int,YES,NULL
sucursales_mh,ID,int,NO,NULL
sucursales_mh,Sucursales_mh,varchar,NO,NULL
sucursales_mh,suc_porcentaje_dificil_acceso,int,YES,NULL
sucursales_mh,suc_porcentaje_insumos,int,YES,NULL
usuarios,id,int,NO,NULL
usuarios,username,varchar,NO,NULL
usuarios,password,varchar,NO,NULL
usuarios,rol,enum,NO,NULL
usuarios,activo,tinyint,YES,1
usuarios,created_at,timestamp,YES,CURRENT_TIMESTAMP
